vessel_name,vessel_id,position,username,email,password,status
OLYMPIC FIGHTER,467b8f36-d689-4d40-b940-5b56b40774f1,master,master_olympicfighter,master_olympicfighter@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FIGHTER,467b8f36-d689-4d40-b940-5b56b40774f1,chief_officer,chiefofficer_olympicfighter,chiefofficer_olympicfighter@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FIGHTER,467b8f36-d689-4d40-b940-5b56b40774f1,chief_engineer,chiefengineer_olympicfighter,chiefengineer_olympicfighter@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FLAG,4885cfe6-bafb-4b60-989d-477ebc05790f,master,master_olympicflag,master_olympicflag@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FLAG,4885cfe6-bafb-4b60-989d-477ebc05790f,chief_officer,chiefofficer_olympicflag,chiefofficer_olympicflag@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FLAG,4885cfe6-bafb-4b60-989d-477ebc05790f,chief_engineer,chiefengineer_olympicflag,chiefengineer_olympicflag@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FRIENDSHIP,0443093b-96aa-4469-8549-a42f06dab2b9,master,master_olympicfriendship,master_olympicfriendship@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FRIENDSHIP,0443093b-96aa-4469-8549-a42f06dab2b9,chief_officer,chiefofficer_olympicfriendship,chiefofficer_olympicfriendship@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FRIENDSHIP,0443093b-96aa-4469-8549-a42f06dab2b9,chief_engineer,chiefengineer_olympicfriendship,chiefengineer_olympicfriendship@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FUTURE,b648ea8d-bae9-49e1-beb0-cf4ae8563e6d,master,master_olympicfuture,master_olympicfuture@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FUTURE,b648ea8d-bae9-49e1-beb0-cf4ae8563e6d,chief_officer,chiefofficer_olympicfuture,chiefofficer_olympicfuture@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC FUTURE,b648ea8d-bae9-49e1-beb0-cf4ae8563e6d,chief_engineer,chiefengineer_olympicfuture,chiefengineer_olympicfuture@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LADY,147bb8d3-8623-4fff-a111-8a1f0674fc9d,master,master_olympiclady,master_olympiclady@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LADY,147bb8d3-8623-4fff-a111-8a1f0674fc9d,chief_officer,chiefofficer_olympiclady,chiefofficer_olympiclady@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LADY,147bb8d3-8623-4fff-a111-8a1f0674fc9d,chief_engineer,chiefengineer_olympiclady,chiefengineer_olympiclady@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LAUREL,58c92178-0a1b-427b-9128-002920484058,master,master_olympiclaurel,master_olympiclaurel@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LAUREL,58c92178-0a1b-427b-9128-002920484058,chief_officer,chiefofficer_olympiclaurel,chiefofficer_olympiclaurel@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LAUREL,58c92178-0a1b-427b-9128-002920484058,chief_engineer,chiefengineer_olympiclaurel,chiefengineer_olympiclaurel@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LEOPARD,94eed7a0-ee4e-4442-9f07-feacf9fdacb0,master,master_olympicleopard,master_olympicleopard@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LEOPARD,94eed7a0-ee4e-4442-9f07-feacf9fdacb0,chief_officer,chiefofficer_olympicleopard,chiefofficer_olympicleopard@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LEOPARD,94eed7a0-ee4e-4442-9f07-feacf9fdacb0,chief_engineer,chiefengineer_olympicleopard,chiefengineer_olympicleopard@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LIFE,322b58d8-f5cb-41ac-8cf9-21cc6272e8c0,master,master_olympiclife,master_olympiclife@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LIFE,322b58d8-f5cb-41ac-8cf9-21cc6272e8c0,chief_officer,chiefofficer_olympiclife,chiefofficer_olympiclife@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LIFE,322b58d8-f5cb-41ac-8cf9-21cc6272e8c0,chief_engineer,chiefengineer_olympiclife,chiefengineer_olympiclife@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LIGHT,d3633a10-06b0-4eaa-a4ba-c35755877496,master,master_olympiclight,master_olympiclight@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LIGHT,d3633a10-06b0-4eaa-a4ba-c35755877496,chief_officer,chiefofficer_olympiclight,chiefofficer_olympiclight@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LIGHT,d3633a10-06b0-4eaa-a4ba-c35755877496,chief_engineer,chiefengineer_olympiclight,chiefengineer_olympiclight@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LION,9a9d211a-8305-4d9f-8110-9523ff8cb74e,master,master_olympiclion,master_olympiclion@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LION,9a9d211a-8305-4d9f-8110-9523ff8cb74e,chief_officer,chiefofficer_olympiclion,chiefofficer_olympiclion@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LION,9a9d211a-8305-4d9f-8110-9523ff8cb74e,chief_engineer,chiefengineer_olympiclion,chiefengineer_olympiclion@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LUCK,96fd462f-e12f-47f7-a2c3-ed3024de95d5,master,master_olympicluck,master_olympicluck@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LUCK,96fd462f-e12f-47f7-a2c3-ed3024de95d5,chief_officer,chiefofficer_olympicluck,chiefofficer_olympicluck@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LUCK,96fd462f-e12f-47f7-a2c3-ed3024de95d5,chief_engineer,chiefengineer_olympicluck,chiefengineer_olympicluck@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LUNA,5c3e13e0-83f0-4b2f-b166-cea1b4fee93e,master,master_olympicluna,master_olympicluna@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LUNA,5c3e13e0-83f0-4b2f-b166-cea1b4fee93e,chief_officer,chiefofficer_olympicluna,chiefofficer_olympicluna@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LUNA,5c3e13e0-83f0-4b2f-b166-cea1b4fee93e,chief_engineer,chiefengineer_olympicluna,chiefengineer_olympicluna@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LYRA,54f9624e-83f7-498e-95d4-2f124a310fcf,master,master_olympiclyra,master_olympiclyra@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LYRA,54f9624e-83f7-498e-95d4-2f124a310fcf,chief_officer,chiefofficer_olympiclyra,chiefofficer_olympiclyra@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC LYRA,54f9624e-83f7-498e-95d4-2f124a310fcf,chief_engineer,chiefengineer_olympiclyra,chiefengineer_olympiclyra@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC OLYMPIC,ffbbc7cd-258d-42ab-8092-97c76acafc66,master,master_olympicolympic,master_olympicolympic@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC OLYMPIC,ffbbc7cd-258d-42ab-8092-97c76acafc66,chief_officer,chiefofficer_olympicolympic,chiefofficer_olympicolympic@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC OLYMPIC,ffbbc7cd-258d-42ab-8092-97c76acafc66,chief_engineer,chiefengineer_olympicolympic,chiefengineer_olympicolympic@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TARGET,73a12933-95af-47b3-919d-65b80c8317e4,master,master_olympictarget,master_olympictarget@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TARGET,73a12933-95af-47b3-919d-65b80c8317e4,chief_officer,chiefofficer_olympictarget,chiefofficer_olympictarget@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TARGET,73a12933-95af-47b3-919d-65b80c8317e4,chief_engineer,chiefengineer_olympictarget,chiefengineer_olympictarget@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TROPHY,acc0a1cf-56f4-4eb0-a585-dac471b3dd13,master,master_olympictrophy,master_olympictrophy@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TROPHY,acc0a1cf-56f4-4eb0-a585-dac471b3dd13,chief_officer,chiefofficer_olympictrophy,chiefofficer_olympictrophy@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TROPHY,acc0a1cf-56f4-4eb0-a585-dac471b3dd13,chief_engineer,chiefengineer_olympictrophy,chiefengineer_olympictrophy@csvtest.local,ChangeMe2026!,CREATED
OLYMPIC TRUST,6b82a985-7f2e-46a7-9d65-76aaf4c93414,master,master_olympictrust,master_olympictrust@csvtest.local,ChangeMe2026!,CREATED
